"","x"
"1",452
"2",184
"3",115
"4",315
"5",139
"6",177
"7",214
"8",356
"9",166
"10",246
"11",177
"12",289
"13",175
"14",324
"15",260
"16",188
"17",208
"18",109
"19",204
"20",89
"21",320
"22",256
"23",138
"24",198
"25",191
"26",193
"27",305
"28",203
"29",396
"30",250
"31",230
"32",214
"33",46
"34",256
"35",204
"36",150
"37",218
"38",261
"39",143
"40",132
"41",175
"42",236
"43",220
"44",212
"45",119
"46",144
"47",147
"48",171
"49",216
"50",232
"51",216
"52",164
"53",199
"54",236
"55",237
"56",206
"57",87
"58",205
"59",122
"60",173
"61",216
"62",296
"63",316
"64",229
"65",185
