"","x"
"1",19.0333333333333
"2",23.1333333333333
"3",3.93333333333333
"4",8.2
"5",8.66666666666667
"6",12.4166666666667
"7",1.4
"8",8.41666666666667
"9",14.0333333333333
"10",23.7666666666667
"11",10.1166666666667
"12",13.8833333333333
"13",18.75
"14",9.1
"15",15.95
"16",7.66666666666667
"17",3.03333333333333
"18",10.75
"19",15.1
"20",6.43333333333333
"21",16.7333333333333
"22",0.433333333333333
"23",14.2833333333333
"24",23.75
"25",5.13333333333333
"26",5.81666666666667
"27",6.53333333333333
"28",12.6666666666667
"29",13.5
"30",12.9166666666667
"31",15.3666666666667
"32",16.15
"33",19.7666666666667
"34",2.46666666666667
"35",10.1
"36",11.3166666666667
"37",16.5166666666667
