"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",1
"58",1
"59",1
"60",1
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",1
"104",1
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",1
"118",1
"119",1
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",1
"156",1
"157",1
"158",1
"159",1
"160",1
"161",2
"162",2
"163",2
"164",2
"165",2
"166",2
"167",2
"168",2
"169",2
"170",2
"171",2
"172",2
"173",2
"174",2
"175",2
"176",2
"177",2
"178",2
"179",2
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",2
"187",2
"188",2
"189",2
"190",2
"191",2
"192",2
"193",2
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",2
"222",2
"223",2
"224",2
"225",2
"226",2
"227",2
"228",2
"229",2
"230",2
"231",2
"232",2
"233",2
"234",2
"235",2
"236",2
"237",2
"238",2
"239",2
"240",2
"241",3
"242",3
"243",3
"244",3
"245",3
"246",3
"247",3
"248",3
"249",3
"250",3
"251",3
"252",3
"253",3
"254",3
"255",3
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",3
"267",3
"268",3
"269",3
"270",3
"271",3
"272",3
"273",3
"274",3
"275",3
"276",3
"277",3
"278",3
"279",3
"280",3
"281",3
"282",3
"283",3
"284",3
"285",3
"286",3
"287",3
"288",3
"289",3
"290",3
"291",3
"292",3
"293",3
"294",3
"295",3
"296",3
"297",3
"298",3
"299",3
"300",3
"301",3
"302",3
"303",4
"304",4
"305",4
"306",4
"307",4
"308",4
"309",4
"310",4
"311",4
"312",4
"313",4
"314",4
"315",4
"316",4
"317",4
"318",4
"319",4
"320",4
"321",4
"322",4
"323",4
"324",4
"325",4
"326",4
"327",4
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",4
"345",5
"346",5
"347",5
"348",5
"349",5
"350",5
"351",5
"352",5
"353",5
"354",5
"355",5
"356",5
"357",5
"358",5
"359",5
"360",5
"361",5
"362",5
"363",5
"364",5
"365",5
"366",5
"367",5
"368",5
"369",5
"370",5
"371",5
"372",6
"373",6
"374",6
"375",6
"376",6
"377",6
"378",6
"379",6
"380",6
"381",7
"382",7
"383",7
"384",7
"385",7
"386",7
"387",7
"388",7
"389",7
"390",8
"391",8
"392",8
"393",8
"394",8
"395",9
"396",9
"397",9
"398",10
"399",10
"400",19
