"","x"
"1",4.03
"2",3.96
"3",4.06
"4",4.11
"5",3.91
"6",3.83
"7",3.85
"8",3.71
"9",4.24
"10",3.72
"11",3.65
"12",3.93
"13",3.96
"14",3.96
"15",4
"16",3.88
"17",3.75
"18",4.06
"19",4.21
"20",3.66
"21",4.01
"22",3.63
"23",4.55
"24",3.74
"25",3.62
"26",4.08
"27",3.57
"28",3.79
"29",3.85
"30",4.33
"31",4.18
"32",4.25
"33",3.89
"34",3.88
"35",4.55
"36",3.8
"37",3.97
"38",4.11
"39",3.66
"40",3.75
"41",4.36
"42",4.05
"43",3.85
"44",4.11
"45",4.08
"46",3.96
"47",4.24
"48",3.86
"49",3.71
"50",3.9
"51",3.98
"52",4.22
"53",3.86
"54",4.18
"55",3.88
"56",4.69
"57",3.73
"58",4.21
"59",3.9
"60",3.94
"61",3.85
"62",4.37
"63",4.01
"64",3.78
"65",4.33
